intervention,count
Placebo,253
Unknown,176
Cyclophosphamide,40
Rituximab,24
Belimumab,21
Anifrolumab,21
Mycophenolate Mofetil,19
Fludarabine,19
Prednisone,18
Methylprednisolone,17
Azathioprine,15
Standard of care,12
Telitacicept,11
Mycophenolate mofetil,10
Epratuzumab,9
Hydroxychloroquine,9
cyclophosphamide,8
Tacrolimus,8
blood sample,8
Belimumab 10 mg/kg,7
Blood sample,7
Belimumab 1 mg/kg,6
Diphenhydramine,6
Interleukin-2,6
BMS-986165,6
YTS109 cell,6
Abatacept,5
tacrolimus,5
Acetaminophen,5
Corticosteroids,5
belimumab,5
Standard therapy,5
Placebo plus standard therapy,5
Cenerimod,5
Obinutuzumab,5
Voclosporin,5
Placebos,5
Tocilizumab,5
prednisone,4
filgrastim,4
Sirolimus,4
Leflunomide,4
mycophenolate mofetil,4
Rosuvastatin,4
Mycophenolate mofetil (MMF),4
Atacicept,4
Tofacitinib,4
Baricitinib,4
Placebo Oral Capsule,4
Upadacitinib,4
Litifilimab,4
CD19 CAR-T cells,4
dehydroepiandrosterone,3
Atorvastatin,3
MEDI-545,3
Blood samples,3
Cholecalciferol,3
Atacicept 150 mg,3
MRI,3
AMG 557,3
LY2127399,3
Belimumab 10 mg/kg plus standard therapy,3
Blood sampling,3
BIIB059 (litifilimab),3
Sham vagus nerve stimulation,3
No Intervention,3
anti-CD19-CAR-T cells,3
Standard-of-care treatment,3
Nipocalimab,3
None (Observational study),3
Ianalumab,3
CAR-T Therapy,3
CC312,3
UCAR T-cell,3
Vitamin C,3
anti-thymocyte globulin,2
methylprednisolone,2
Prasterone (GL701),2
aspirin,2
abetimus sodium (LJP 394),2
epratuzumab,2
Memantine,2
Methotrexate,2
MEDI 545,2
Corticosteroid,2
atorvastatin,2
Etanercept,2
Ocrelizumab,2
Usual Care,2
Atacicept 75 mg,2
Placebo Comparator,2
Vitamin D3,2
abatacept,2
Gardasil,2
AMG 811,2
Simvastatin,2
Cyclosporine A,2
NNC 0151-0000-0000,2
Laquinimod,2
CDP7657,2
CEP-33457,2
A-623,2
Placebo every 2 weeks,2
Placebo every 4 weeks,2
BIIB023,2
oral corticosteroids,2
Benlysta,2
Collection of biological samples,2
Blisibimod,2
No intervention,2
CC-220,2
RSLV-132,2
SAR113244,2
Control,2
Placebo Infusion,2
Placebo SC,2
AMG 623,2
IPP-201101,2
